,NSE,NSE,NSE,NSE,NSE,NSE,NSE,NSE,NSE
,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ
,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.
,1-Jul-10,1-Oct-10,3-Jan-11,1-Apr-11,1-Jul-11,3-Oct-11,2-Jan-12,2-Apr-12,2-Jul-12
Company Name,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price 
3I Infotech Ltd.,64.4,62.1,62.2,44.9,47.3,25.6,12.05,16.15,10.25
A B B India Ltd.,860.6,925.45,811.2,785.2,865.65,681.45,581.7,845.25,804.65
A B G Shipyard Ltd.,259.1,243.45,426.15,370,358.45,387.7,392.5,387.95,379.65
A C C Ltd.,866.6,1004.05,1074.4,1091.85,955.2,1100.55,1138.85,1342,1311.65
Aban Offshore Ltd.,849.25,852.9,813.95,643.3,513.7,346.5,333.65,437.35,394.35
Adani Enterprises Ltd.,536.85,674.5,648.75,661,701.8,505.7,288.65,308,235
Adani Ports & Special Economic Zone Ltd.,145.93,167.05,145.05,141.15,162.35,153.1,114.7,129.5,124.75
Adani Power Ltd.,126.15,134.4,129.95,115.65,109.75,84,62.65,68.6,51.15
Aditya Birla Nuvo Ltd.,762.1,875.45,836.75,824.85,904.5,886.1,726.3,953.3,806.75
Allahabad Bank,160.1,233.7,230.1,225.95,195,154.6,116.75,188.5,150.6
Alok Industries Ltd.,20.36,21.26,28.84,22.65,25.9,17.86,17.96,20.66,17.96
Alstom India Ltd.,659.55,827.6,700.8,587.8,526.05,513.7,299.1,361.45,386.3
Alstom T & D India Ltd.,289.45,292.7,326.45,251.15,258.8,214.45,162.15,188.1,193.85
Ambuja Cements Ltd.,113.05,141.9,142.95,146.8,129.45,149.1,156.25,172.1,175.8
Andhra Bank,129.3,165.35,150,151.1,132.95,122.15,80.55,121.1,118.2
Apollo Tyres Ltd.,64.1,84.3,68.55,69.05,79.6,53.25,57.95,79.3,79.3
Ashok Leyland Ltd.,31.3,37.5,33.45,28.93,24.23,25.4,22.6,30.95,24.5
Asian Paints Ltd.,232.98,266.45,287.46,252.06,331.39,312.94,259.03,326.34,392.12
Aurobindo Pharma Ltd.,92.04,105.87,133.11,97.92,85.28,60.35,43.13,57.02,57.02
Axis Bank Ltd.,246.73,314.97,273.53,281.55,261.83,197.7,158.96,230.96,205.86
B E M L Ltd.,995,1107.45,1028.2,705.95,589.35,458.95,459.4,621.55,394.05
B G R Energy Systems Ltd.,726.1,773.4,736.8,499.5,468.25,310.6,175.6,348.8,308.25
Bajaj Auto Ltd.,1247.28,1547.45,1476.5,1458.95,1423.15,1519.5,1475.5,1655.2,1558.1
Bajaj Hindusthan Sugar Ltd.,98.77,113.25,101.68,64.14,60.34,37.8,23.85,31.15,30.95
Bajaj Holdings & Invst. Ltd.,707.5,835.25,870.3,809.4,737.9,722.35,669.45,829.2,786.95
Balrampur Chini Mills Ltd.,84.75,93.9,91.1,72.05,62.65,43.9,33.9,57.35,51.95
Bank Of Baroda,143.92,177.44,178.46,189.16,174.16,149.65,133.64,158.99,145.63
Bank Of India,357,525.1,451.1,480.15,414.2,312.3,267.1,367,347.9
Bata India Ltd.,137.72,168.7,186.53,196.53,305.25,317.68,264.98,404.05,438.95
Bharat Electronics Ltd.,572.9,590.33,584.68,561.6,540.97,496.33,450.82,507.73,451.47
Bharat Forge Ltd.,288.35,371.15,379.9,355.35,306.25,259.95,250.8,314.75,299.75
Bharat Heavy Electricals Ltd.,485.54,518.14,468.76,425.54,410.07,319.9,236.55,260.8,235.1
Bharat Petroleum Corpn. Ltd.,330.15,377.8,329.98,302.95,322.57,339.77,240.25,343.68,373.57
Bharti Airtel Ltd.,265.05,365.1,359.35,355.3,383.45,380.95,344.8,340.3,310.2
Bhushan Steel Ltd.,280.26,427.93,483.89,439.21,430.73,319.75,306.65,411.67,456.89
Biocon Ltd.,322.25,366.25,425,356.5,363.65,337,274.05,240.4,238.05
Bombay Dyeing & Mfg. Co. Ltd.,96.8,126.64,106.02,74.79,73.12,71.63,68.78,116.43,107.88
Bombay Rayon Fashions Ltd.,260,257.6,200.25,271.35,285.65,274.45,270.95,253.15,240.85
Bosch Ltd.,5372.5,6222.2,6666.55,6659.15,6879.5,7117.95,6738.55,8155.75,9040.7
C E S C Ltd.,375.55,393.3,368.45,316.7,294.8,267.8,202.35,274.85,298.5
Cairn India Ltd.,296.85,338.4,335.95,354.35,325.8,270.65,314.75,341,314.15
Canara Bank,452.05,586.5,662.35,629.35,527.8,433.9,366.2,469.7,414.2
