,NSE,NSE,NSE,NSE,NSE,NSE,NSE,NSE,NSE
Central Bank Of India,119,170.72,155.11,142.25,126.1,100.2,64.9,102.15,82.75
Century Textiles & Inds. Ltd.,455.45,518.65,438.2,369.75,365.5,294.55,221.75,376.45,313.75
Chambal Fertilisers & Chemicals Ltd.,65.35,71,91,81.8,80,92.1,76.35,77.5,74
Chennai Petroleum Corpn. Ltd.,252.85,257.05,251.35,230.55,227.4,202.85,157.6,157.9,120.75
Cipla Ltd.,335.25,323.8,372.5,319.85,326.9,284.35,320.75,309.15,315.45
Colgate-Palmolive (India) Ltd.,420.3,443.2,434.55,412.5,501.73,482.88,492.35,572.4,589.58
Core Education & Technologies Ltd.,244,304.75,293.3,313,298.15,281.45,258.3,279.4,297.95
Crompton Greaves Ltd.,257.3,317.8,310.7,272.95,264.6,146.35,124.4,144.8,126
Cummins India Ltd.,426.75,531.96,552.64,496.36,485.82,401.9,341.1,491.5,445.7
D C B Bank Ltd.,45.35,59.1,58.65,46.75,59.95,42.15,31.85,46.8,43.05
D L F Ltd.,283.85,388.1,295.6,271.95,220.3,200.75,179.2,208,204.55
Dabur India Ltd.,103.1,109.05,100.6,96.9,116.6,103.1,100.45,105.95,113.75
Deccan Chronicle Holdings Ltd.,122.95,130.9,111.8,86.3,70.55,54.1,33.85,36.3,31.95
Dena Bank,92.25,109.05,116.65,106.35,90.75,76.4,48.85,91.35,99.25
Dish T V India Ltd.,45.8,56.3,71.55,67.15,90.45,75.15,57.85,65.4,64.45
Divi'S Laboratories Ltd.,390.63,351.32,326.27,346.48,397.57,364.07,390.8,382.8,522.45
Dr. Reddy'S Laboratories Ltd.,1440.45,1484.55,1670.5,1617.9,1526.9,1460.2,1569.6,1738.25,1644
Educomp Solutions Ltd.,528.7,612.2,543.35,431.1,396.75,246.05,190.9,199.55,174.6
Escorts Ltd.,194.15,227.85,183.75,145.25,115.35,71.3,67.1,72.85,67.9
Essar Oil Ltd.,139.95,132.15,140.6,127.05,122.45,77.75,50.05,54.5,55.95
Everest Kanto Cylinder Ltd.,133.55,120.65,101.6,80.1,91.15,69.3,24.7,31.5,31.1
Exide Industries Ltd.,130,164.05,166.35,146.65,161.45,131.35,107.75,145.95,136.9
Federal Bank Ltd.,31.61,39.88,40.41,42.03,45.11,35.93,33.71,43.12,45.2
Financial Technologies (India) Ltd.,1343.4,1187.75,890.6,885.15,865.05,793.15,533.55,701.45,754.5
Firstsource Solutions Ltd.,28.05,28.8,25.4,18.65,18.8,11.05,6.2,10.5,8.75
Fortis Healthcare Ltd.,154.1,162,149.95,156.85,161.45,121.8,84.2,101.25,101.95
G A I L (India) Ltd.,466.25,484.85,515.05,463.55,450.75,418.2,386.75,377.15,355.15
G M R Infrastructure Ltd.,58.67,56.17,46.16,39.69,32.28,25.51,19.87,30.61,25.17
G O L Offshore Ltd.,441.7,374.9,395.4,270.5,213.25,118.15,71.7,99.5,84.95
G T L Infrastructure Ltd.,47.05,45.65,43.1,37.35,15.85,11.4,9.05,10.3,8.2
G T L Ltd.,431.05,420.4,416.75,415.35,97.2,55.8,36.15,43.25,34
G V K Power & Infrastructure Ltd.,43.75,47,41.45,26.75,20.15,15.5,12.4,17.7,15.7
Glaxosmithkline Pharmaceuticals Ltd.,2188.6,2251.05,2342.6,2090.9,2346.1,2098.95,1981.85,2277.6,2029.85
Godrej Industries Ltd.,165.52,229.62,203.54,192.5,209.23,190.4,173.26,273.73,242.31
Grasim Industries Ltd.,1845.4,2232.05,2356.05,2530.9,2127.5,2292.8,2418.1,2619.5,2717.15
Great Eastern Shipping Co. Ltd.,290.55,320.05,344.65,271.1,287.05,234.9,196.45,251.15,252.65
Gujarat Mineral Devp. Corpn. Ltd.,126.15,133.6,140.25,139.25,155.25,164.4,162.05,189.05,188.75
Gujarat State Petronet Ltd.,102.2,111.95,117.7,101.85,90.8,105.1,77.1,78.45,70.4
H C L Technologies Ltd.,181.7,215.45,227.07,233.57,248.1,200.4,196.8,250.63,242.22
H D F C Bank Ltd.,381.48,500.15,478.1,466.75,500.25,456.05,426.85,528.35,573.95
Havells India Ltd.,62.06,83.27,79.56,75.46,77.21,70.79,77.07,119.08,116.41
Hero Motocorp Ltd.,2020.15,1848.2,1986.6,1602.75,1899.2,1959.7,1838.85,2058.15,2114.35
Hexaware Technologies Ltd.,37.67,37.83,64.17,68.8,71.45,84.25,75.6,116.95,126.8
Hindalco Industries Ltd.,142.95,204.35,246.1,214.25,187,123.95,112.25,127.3,121
Hindustan Construction Co. Ltd.,59.23,60.8,48.65,37.2,32.4,28.1,16.55,26.2,21.35
Hindustan Oil Exploration Co. Ltd.,224.75,239.7,246.5,222.95,177.55,104.65,91,119,131.3
Hindustan Petroleum Corpn. Ltd.,469.9,514.25,396.15,352.35,391.75,377.95,252.8,296.8,332.6
Hindustan Unilever Ltd.,272.5,309.7,313.15,283.95,336.75,334.15,402.4,405.65,446.6
Hindustan Zinc Ltd.,95.23,110.87,138.07,135.65,136.5,112.65,115.25,132.4,122.35
Hotel Leelaventure Ltd.,48,54,48.8,39.55,40.9,36.15,29.65,33.1,33.05
Housing Development & Infrastructure Ltd.,243.65,270.7,194.25,182.2,164.7,92.15,54.05,86.25,88.9
Housing Development Finance Corpn. Ltd.,583.08,743.35,728.2,708.2,703.3,634.45,650.4,683.15,662.35
I C I C I Bank Ltd.,168.29,227.04,228.97,220.58,218.97,167.82,139.31,178.09,178.88
I D B I Bank Ltd.,118.45,158.45,166.05,145.15,135.05,101.2,78.65,105.55,95.2
I D F C Ltd.,182.3,206.85,182.1,160.1,135.05,109.5,91.95,134.8,137.55
I F C I Ltd.,57.8,66.45,66.85,55.05,48.15,29.55,22.4,42.25,40.7
I I F L Holdings Ltd.,94.95,121.2,82.45,77.15,87.7,69.5,44.2,67.9,60.95
I R B Infrastructure Developers Ltd.,263.1,265.4,230.9,215.1,174.65,161.8,126.4,189.85,132.3
I T C Ltd.,151.5,178.65,174.8,182.5,201.55,194.35,198.65,226.95,250.05
I V R C L Ltd.,188.05,163.1,133.9,83.2,71.2,34.65,29.05,69.6,53.45
Idea Cellular Ltd.,59.75,73.55,70.8,67.85,78.85,98.25,83.05,99.6,77.65
Igate Computer Systems Ltd. [Merged],514.05,426,469,474.95,323.7,274.65,448.3,491.95,
India Cements Ltd.,106.5,118.45,109.35,98.05,72.65,69.95,66.5,109.3,89.75
Indiabulls Real Estate Ltd.,156.35,176.75,137.5,131.8,116.45,70.3,47,65.9,62.9
Indian Bank,225.7,282.3,247.7,229.9,213.55,206.5,181.9,238.15,178.5
Indian Hotels Co. Ltd.,104.8,102.05,100.95,85,78.25,69.45,55.6,64.1,61.8
Indian Oil Corpn. Ltd.,400,418.1,353.6,332.85,337.9,318.25,252.65,260.4,255.85
Indian Overseas Bank,103.95,136.2,147.25,145.85,147.95,90.3,73.35,94.8,84.35
Indraprastha Gas Ltd.,266.85,324.35,350.05,302.45,385.85,429.35,373.65,379.1,241.45
Indusind Bank Ltd.,205.55,264.6,264.65,265.55,275,255.1,226.45,326.2,338.5
Infosys Ltd.,691.76,775.54,864.59,804.54,733.54,618.98,702.24,712.55,624.85
J S W Holdings Ltd.,1658.25,2189.6,1585,1031.6,989.5,515.75,387.35,753.1,545.85
J S W Ispat Steel Ltd. [Merged],17.7,23.35,23.85,24.45,19.7,12.7,9.35,12.75,11.15
J S W Steel Ltd.,1036.9,1370.5,1191.1,949.6,882.55,549.05,536.95,723.35,679.5
Jain Irrigation Systems Ltd.,222.97,234.06,213.35,181,173.75,144.05,89.65,99.5,85.5
Jaiprakash Associates Ltd.,128,124,108.55,95.45,81.35,70.15,52.65,84.75,74.85
Jaiprakash Power Ventures Ltd.,68.9,65.05,55.65,43.95,47.8,35.05,34.05,41.4,34.25
Jet Airways (India) Ltd.,527.7,814.25,762.05,459.65,475.15,226.05,172.8,328.85,387
Jindal Saw Ltd.,199.05,217.55,188.85,204.15,161.7,133.65,130,169.8,134.55
Jindal Steel & Power Ltd.,613.5,731.85,718.45,700.7,650.75,474.45,460.55,542.55,456.9
K S Oils Ltd.,58.4,50.05,47.7,33.75,21.9,9.95,5.45,8.05,5.5
Karnataka Bank Ltd.,160.34,169.95,151.89,109.5,130.4,81.6,66.2,96.6,93
Kingfisher Airlines Ltd.,49.2,74.4,66.85,43.95,40.45,19.55,21.05,15.05,11.95
Kotak Mahindra Bank Ltd.,192.54,248.28,228.55,225.5,236.7,223.13,210.88,278,299.43
L I C Housing Finance Ltd.,195.18,289.52,196.35,233,240.5,214.95,218,266,268.75
Lanco Infratech Ltd.,66.55,71.35,65.6,40.1,24.6,15.45,9.8,18.85,15.65
Larsen & Toubro Ltd.,1196.1,1399.1,1320.33,1098.03,1205,879.47,672.7,888.3,933.03
Lupin Ltd.,386,397.4,486.6,417.15,448.75,472.4,439.2,538.45,544
M R F Ltd.,7699.95,9070.4,7356.4,6495.1,6886.85,6537.7,6943.05,10498.35,10142.05
Mahanagar Telephone Nigam Ltd.,65.75,63.5,57.45,47.8,43.95,30.95,23.1,28.25,23.9
Mahindra & Mahindra Ltd.,615.15,715.75,787.55,711.05,691.8,810.4,674,710.65,714.9
Mangalore Refinery & Petrochemicals Ltd.,76.2,78.4,75.25,65.65,77.75,61.55,51.05,67.75,55.8
Maruti Suzuki India Ltd.,1400.9,1479.95,1426.05,1271.1,1143.15,1077.75,938.9,1338.55,1178.5
Max India Ltd.,156.45,170.45,149.25,163.9,183.9,183.1,144.5,167,189.1
Mcleod Russel India Ltd.,211.15,243.5,217.05,261.6,272.05,228.5,186.85,280.35,294.85
Mercator Ltd.,46.2,59.25,58.35,40.3,40.55,23.35,16.35,25.6,22.15
Moser Baer India Ltd.,67.95,69.4,62.4,43.4,40.15,20.9,14.4,16.95,9.15
Mphasis Ltd.,578.8,631.35,685.15,420.15,442.9,335.8,301.45,414.05,370.7
N C C Ltd.,114.27,96.92,92.94,63.93,49.58,34.73,20.87,33.33,28.34
N H P C Ltd.,32.15,32.15,29,25.2,24.6,23.6,17.95,20.2,18.45
N M D C Ltd.,265.65,277.2,283.7,295.35,264.15,218,155.4,165,196.4
N T P C Ltd.,199.95,219.45,198.45,188.85,186.8,164.35,158.15,167.5,161.3
Nagarjuna Fertilizers & Chemicals Ltd. [Merged],31.65,30.7,34.65,29,35.2,,,,
National Aluminium Co. Ltd.,107.53,101.72,98,96.15,83.85,60.9,53.3,55.3,60.4
Neyveli Lignite Corpn. Ltd.,160.05,163.45,137.35,108.35,99.6,77.9,72.65,89.2,82.2
Oil & Natural Gas Corpn. Ltd.,325.57,351.25,323.2,293.05,276.35,268.05,258.35,269.85,286.3
Oil India Ltd.,577.38,611.88,565.26,525.62,524.14,535.38,470.38,493.05,500.15
Onmobile Global Ltd.,139.4,177.6,145.88,121.33,107.5,60.85,64.05,59.7,29.45
Opto Circuits (India) Ltd.,183.12,230.73,204.15,215.58,229.77,173.46,152.42,199.3,158.55
Oracle Financial Services Software Ltd.,2239.45,2297.65,2324.3,1980.4,2310.7,1882.05,1850.35,2616.15,2562.1
Orbit Corporation Ltd.,132.4,123.5,81.25,56.95,42.65,32.7,27.2,55.35,56.45
Orchid Pharma Ltd.,167.35,267.3,314.65,316.9,270.7,153.05,134.45,191.85,120.3
Oriental Bank Of Commerce,318.9,465.3,402.9,384.9,333.4,291.3,194.6,255.9,262.3
P T C India Ltd.,99.5,117.65,126.4,89.45,78.9,68.35,39.9,67.25,64.85
Patel Engineering Ltd.,415.15,381.15,313.85,147.85,149.3,91.5,80.4,108.85,97.65
Petronet L N G Ltd.,77.05,108.8,125.4,125.25,135.9,160.7,155.7,173.4,144
Piramal Enterprises Ltd.,482.15,519.9,469.25,418.95,394.15,352.5,374.5,470.25,523.75
Polaris Consulting & Services Ltd.,177.9,170.2,184.9,189.85,180.05,127.9,122.55,166.6,128.8
Power Finance Corpn. Ltd.,298.25,354.25,307.05,241.65,191.85,142.3,136.05,193.75,177.65
Power Grid Corpn. Of India Ltd.,103.25,108.5,98.3,104.85,110.25,97.35,100,108.6,112.6
Praj Industries Ltd.,81.05,75.5,84.15,74.4,76.25,69.75,75.35,80.45,60.15
Punj Lloyd Ltd.,133.45,131.5,116.15,67.85,76.85,52.95,40,55.9,51.2
Punjab National Bank,204.07,261.56,244.55,235.9,218.3,186.89,153.25,185.8,162.8
Ranbaxy Laboratories Ltd. [Merged],460.6,568.3,601.4,450.55,527.15,513.4,412.5,458.95,496.1
Raymond Ltd.,235.45,375.35,380.3,325.95,375.75,332.5,312,428.05,413
Reliance Capital Ltd.,751.55,800.4,682.5,614.25,582.45,320.05,232.75,398.9,361.5
Reliance Communications Ltd.,192.25,167.9,148.25,111.7,97.45,72.05,72.1,85.5,64.15
Reliance Industries Ltd.,1076.25,1007.9,1055.6,1036.4,861.95,788.2,706.55,740.55,737.4
Reliance Infrastructure Ltd.,1210.7,1083.1,862.45,695.25,542.3,377.85,334.3,613.25,556.7
Reliance Mediaworks Ltd.,204.73,192.14,207.61,154.05,117.16,80.78,61.71,74.98,52.49
Reliance Power Ltd.,169.55,162,159,133.3,115.95,78.05,69.95,122.3,106.1
Rolta India Ltd.,166.8,167.1,158.9,142.75,129.6,80.5,57.35,94.85,80.75
Ruchi Soya Inds. Ltd.,108.5,128.25,119.35,105.3,98.15,109.15,93.95,92.3,89.1
Rural Electrification Corpn. Ltd.,302.95,364.5,291.8,252.6,197.65,163.05,152.15,216.35,192.15
S Kumars Nationwide Ltd.,71.5,77.45,87.6,57.3,53.65,40.45,23.9,34.1,35.6
S R E I Infrastructure Finance Ltd.,44.72,52.25,64.28,48.95,43.15,32.4,24.35,26.8,24.9
Shipping Corpn. Of India Ltd.,157.45,164,132.25,112.1,103.85,75.15,47.05,63,56.7
Shree Renuka Sugars Ltd.,68.5,88.2,98.35,72.75,68.5,53.45,24.75,31.8,32.45
Shriram Transport Finance Co. Ltd.,592.85,793,783.1,790.1,654.8,614.9,420,591.55,535.3
Siemens Ltd.,715.65,834.35,829.75,883.25,893.2,826.55,638.15,771.85,738.05
Sintex Industries Ltd.,157.85,195.13,185.3,159.65,179.8,111.6,65.2,87.3,62.4
Sobha Ltd.,287.8,393.6,327.85,295.45,266.7,207.05,192.3,329.3,336.45
State Bank Of India,226.23,327.22,282.21,271.96,242.03,186.16,162.77,213.04,218.19
Steel Authority Of India Ltd.,189.25,223.55,187.95,169.95,137.65,100.4,81.6,96.05,91.2
Sterlite Industries (India) Ltd. [Merged],164.1,175.35,192.25,173.9,170.1,108.75,90.25,109.45,104.25
Sterlite Technologies Ltd.,116.8,97.5,78.8,59.85,53.7,35.85,28.3,40.2,32.6
Sun Pharmaceutical Inds. Ltd.,175.27,203.04,243.65,222.65,249,230.97,247.6,286.7,317.35
Sun T V Network Ltd.,431.05,529.6,539.65,445.4,358.6,225.1,281.1,305.2,304.2
Suzlon Energy Ltd.,57.35,54.4,54.2,48.65,49.25,36.2,18.05,25.8,18.9
Syndicate Bank,91.9,120.35,127.85,122.35,116.4,100.4,69.25,112.25,106.4
T V S Motor Co. Ltd.,59.38,73.85,72.85,61.8,53.45,59.8,48.3,43.15,35.6
Tata Chemicals Ltd.,330,401.75,404.6,345.6,371.7,302.75,308.85,343.85,315.5
Tata Communications Ltd.,260.45,308.2,265,246.75,204.1,184.3,212.8,225.4,235.05
Tata Consultancy Services Ltd.,732,961.6,1158.05,1180.15,1191.9,1043.3,1178.6,1194.25,1259.45
Tata Global Beverages Ltd.,121.1,123.5,111.5,100.65,97.75,84,90.95,115.35,117.95
Tata Motors Ltd.,150.93,220.47,258.91,245.72,196.83,151.97,182,273.86,235.42
Tata Power Co. Ltd.,126.41,134.24,132.67,127.13,125.92,93.37,85.07,96.55,100.75
Tata Steel Ltd.,475,667.8,704.05,626.6,602.3,394.65,341.1,471.75,446.95
Tata Teleservices (Maharashtra) Ltd.,19.41,19.85,17.6,15.31,16.81,14.91,10.81,12.97,12.49
Tech Mahindra Ltd.,184.07,191.88,177.91,173.39,179.55,138.45,142.97,179.14,183.59
Titan Company Ltd.,117.49,165.5,184.34,192.92,213.6,204.05,175.15,242.8,225.35
Triveni Engineering & Inds. Ltd.,73.8,88.96,81.11,70.63,38.35,20.95,12.95,15.45,15.95
Tulip Telecom Ltd.,175.88,179.2,177.05,144.75,157.35,156.45,105.75,92.15,119.35
Uco Bank,77.75,117.05,117.05,108.65,96.55,63.95,47.05,79.85,82
Ultratech Cement Ltd.,866.6,1089.7,1087.7,1111.25,936.05,1100.55,1154,1495,1514.85
Union Bank Of India,313.5,393.3,341.5,343.95,297.9,235.3,172.9,235.4,209.3
Uniphos Enterprises Ltd.,34.9,33.55,39.8,27.9,26.35,26.4,22.6,24.6,23.75
Unitech Ltd.,72.7,94.3,66.6,41.95,32.65,25.4,19.25,29.2,23.5
United Spirits Ltd.,1289.4,1599.3,1468.6,1048,983.9,775.45,494.7,637.35,712.85
Vedanta Ltd.,351.6,345.05,340.1,298.3,283.95,194.3,157.1,192.65,191.6
Videocon Industries Ltd.,211.3,282.45,218.5,196.4,202.85,167.5,173.85,172.95,171.05
Vijaya Bank,64.75,83.65,101.75,81.15,70.65,53.65,44.8,59.45,58.4
Voltas Ltd.,198.7,242.65,225.65,178.5,158.9,105,75.15,113.35,107.2
Welspun Corp Ltd.,229.3,272,172.95,201.65,174.15,107.45,86.6,136.1,118.9
Wipro Ltd.,375.15,461.7,483.05,476.05,423.15,330.2,399,443.15,400.25
Yes Bank Ltd.,269.6,357,315.55,312.05,318.35,260.5,231.85,373.05,344.4
Zee Entertainment Enterprises Ltd.,149.43,150.6,144.55,125.05,133.05,117.75,116.8,130.5,149.05
