,NSE,NSE,NSE,NSE,NSE,NSE,NSE,NSE,NSE
,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ
,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.
,1-Jul-13,1-Oct-13,1-Jan-14,1-Apr-14,1-Jul-14,1-Oct-14,1-Jan-15,1-Apr-15,1-Jul-15
Company Name,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price 
I D B I Bank Ltd.,73.8,60,67.6,64.1,107.65,60.45,74.75,72.8,62.9
I D F C Ltd.,129.55,90.85,109.75,123.1,135.1,136.25,157.8,172.7,152.05
I F C I Ltd.,27.15,22.35,26.05,26.35,41.65,35.6,37.8,34.2,26.65
I R B Infrastructure Developers Ltd.,98.95,77.15,96.3,103.95,235.4,227.75,263.85,248.5,236.7
I T C Ltd.,325.95,343,322.4,351.95,325.2,364.1,367.15,332.45,313.6
Idea Cellular Ltd.,144.15,173.9,168.05,137.55,133.4,166.9,159.35,189.65,178.9
India Cements Ltd.,60.05,50.5,61.9,63.4,118.7,113.25,85.65,89.05,95.7
Indiabulls Real Estate Ltd.,68.8,55.85,72.95,56.45,98.05,67.35,68.85,67.65,56.8
Indian Oil Corpn. Ltd.,236.6,204.65,208.55,273.95,342.7,362.7,336.45,370.6,391.65
Indian Overseas Bank,51.3,46.1,52.25,50.4,80.3,56.65,63.75,42.8,37.9
Indraprastha Gas Ltd.,280.5,275.45,270.3,295.85,376.15,417.15,451.45,412.3,455.3
Indusind Bank Ltd.,471.95,383.05,423.35,499.25,575.45,601.85,812,925.25,875.55
Infosys Ltd.,612.75,753.75,867,828.49,805.26,961.83,987.2,1086.97,997.4
J S W Energy Ltd.,46.15,44.05,56.55,60.2,82.4,69.25,102.5,119.3,98.85
J S W Steel Ltd.,659.25,750,1015.4,1022.9,1269.5,1176.4,1065.9,909.65,891.5
Jain Irrigation Systems Ltd.,52.8,61.6,71.95,65.9,122.95,80,69.55,62.6,69.55
Jaiprakash Associates Ltd.,55.75,34.95,55.5,53.15,76.55,26.8,25.95,25.05,11.4
Jaiprakash Power Ventures Ltd.,19.45,15.5,19.3,14.05,23.7,12.15,12.25,10.15,6.95
Jindal Steel & Power Ltd.,223.65,232.5,262.55,296,326.9,170.8,156.55,155.55,87.9
Jubilant Foodworks Ltd.,1073.4,1159.15,1287.7,1048.65,1299.85,1278.2,1365.7,1476.55,1860.1
Just Dial Ltd.,637.25,838,1417.4,1556.05,1431.9,1632.4,1351.55,1328.85,1268.5
Karnataka Bank Ltd.,117.6,85.65,113.45,116.3,139.85,111.1,147.75,127.8,148.15
Kotak Mahindra Bank Ltd.,361.98,342.55,361.27,381.85,442.18,505.82,629.3,680.52,704.13
L & T Finance Holdings Ltd.,80.1,65.45,75.2,75.3,75.35,65.45,68.7,63.5,66.75
L I C Housing Finance Ltd.,254.95,192.6,221.7,236.75,323.8,320.25,438.1,446.45,452.6
Larsen & Toubro Ltd.,967.77,800,1068.55,1279.05,1726.35,1446.85,1502.95,1734.25,1811.7
Lupin Ltd.,777.15,851.55,916.5,945.1,1049.55,1386.8,1429.2,2037.5,1874.6
M R F Ltd.,12918.45,13855.65,19276.95,21669.35,23649.75,31674.25,37981.35,39557,34756.35
Mahindra & Mahindra Financial Services Ltd.,261.15,258.8,320.25,250.3,285.35,275.3,329.7,262.85,275.95
Mahindra & Mahindra Ltd.,986.75,831.8,948,1000.15,1194.3,1389.65,1237.05,1202.1,1288
Maruti Suzuki India Ltd.,1605.45,1380.2,1764,1930.85,2583.8,2970.95,3340.75,3644.7,4031.7
Mcleod Russel India Ltd.,296.05,248.95,323.6,298.25,319.35,293,232.7,240.55,222.4
N H P C Ltd.,18.75,19.3,19.55,19.5,26.2,19.1,18.9,20.05,19.65
N M D C Ltd.,105.6,119.05,142.8,137.6,183.05,166.95,148.25,128.65,118.2
N T P C Ltd.,148.15,143.85,138.2,121.95,154.6,139.05,142.45,147.75,138.3
Oil & Natural Gas Corpn. Ltd.,328,262.3,288.1,323.8,423.1,402.85,344.05,306.45,313.9
Oracle Financial Services Software Ltd.,2692.45,3061,3274.85,3050.1,3098.5,3491.2,3357.65,3254.15,3846.3
Oriental Bank Of Commerce,215.6,147,229.8,218.7,328.6,229.3,338.15,210.3,173.8
P T C India Ltd.,50.75,46.05,65.5,66.4,95.35,81.1,95,79.45,70.75
Petronet L N G Ltd.,127.3,118.75,123.4,139,174.35,192.05,211.35,175.9,192.8
Power Finance Corpn. Ltd.,147.05,131.45,166.3,191.4,304.9,238.05,305.85,282.65,259.25
Power Grid Corpn. Of India Ltd.,112.9,99,99.5,108,140,135.95,137.1,146.45,142.35
