,NSE,NSE,NSE,NSE,NSE,NSE,NSE,NSE,NSE
,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ,Finance S / Interim SQ
,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.,Rs.
,1-Jul-11,3-Oct-11,2-Jan-12,2-Apr-12,2-Jul-12,1-Oct-12,1-Jan-13,1-Apr-13,1-Jul-13
Company Name,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price ,Adjusted Closing Price 
A B B India Ltd.,865.65,681.45,581.7,845.25,804.65,793.55,705.5,511.15,621.8
A C C Ltd.,955.2,1100.55,1138.85,1342,1311.65,1458,1431.1,1160.9,1220.05
Aban Offshore Ltd.,513.7,346.5,333.65,437.35,394.35,445.8,384.55,273.6,255.75
Adani Enterprises Ltd.,701.8,505.7,288.65,308,235,198.1,275.9,206.8,216.15
Adani Ports & Special Economic Zone Ltd.,162.35,153.1,114.7,129.5,124.75,125.5,137.8,142.45,151.55
Adani Power Ltd.,109.75,84,62.65,68.6,51.15,51.85,64.15,42.2,42.6
Aditya Birla Nuvo Ltd.,904.5,886.1,726.3,953.3,806.75,899.2,1115.45,984.55,1095
Allahabad Bank,195,154.6,116.75,188.5,150.6,148.8,174.7,129.5,94.65
Alok Industries Ltd.,25.9,17.86,17.96,20.66,17.96,12.82,11.33,8.85,7.15
Alstom India Ltd.,526.05,513.7,299.1,361.45,386.3,407.05,408.75,331.15,340.75
Ambuja Cements Ltd.,129.45,149.1,156.25,172.1,175.8,209.5,201.8,174.25,189.05
Andhra Bank,132.95,122.15,80.55,121.1,118.2,113.9,122,96.3,84.45
Apollo Tyres Ltd.,79.6,53.25,57.95,79.3,79.3,92.1,89.4,86.1,60.4
Arvind Ltd.,82.1,99.65,64.9,82.9,76.2,82.2,101.65,79.6,79.45
Ashok Leyland Ltd.,24.23,25.4,22.6,30.95,24.5,24,27.3,22.15,20.65
Asian Paints Ltd.,331.39,312.94,259.03,326.34,392.12,393.97,442.31,495.5,471.25
Aurobindo Pharma Ltd.,85.28,60.35,43.13,57.02,57.02,72.17,96.72,75.97,93.45
Axis Bank Ltd.,261.83,197.7,158.96,230.96,205.86,226.14,272.54,262.98,269.76
B E M L Ltd.,589.35,458.95,459.4,621.55,394.05,310.55,284,153.1,163.2
B F Utilities Ltd.,682.25,436.2,273.9,408.9,433.1,412.55,344.6,230.75,209
B G R Energy Systems Ltd.,468.25,310.6,175.6,348.8,308.25,277.1,263,193,133.5
Bajaj Auto Ltd.,1423.15,1519.5,1475.5,1655.2,1558.1,1810.4,2131.9,1781.3,1922.9
Bajaj Hindusthan Sugar Ltd.,60.34,37.8,23.85,31.15,30.95,32.1,25.2,19.5,15.2
Bajaj Holdings & Invst. Ltd.,737.9,722.35,669.45,829.2,786.95,802.9,989.45,914.15,805.45
Balrampur Chini Mills Ltd.,62.65,43.9,33.9,57.35,51.95,66.5,49.6,44.8,40
Bank Of Baroda,174.16,149.65,133.64,158.99,145.63,156.93,176.71,136.94,118.18
Bank Of India,414.2,312.3,267.1,367,347.9,309.6,359.6,308.75,242.05
Bata India Ltd.,305.25,317.68,264.98,404.05,438.95,485.4,437.6,361.63,419.6
Bharat Electronics Ltd.,540.97,496.33,450.82,507.73,451.47,413.25,431.77,378.32,420.6
Bharat Forge Ltd.,306.25,259.95,250.8,314.75,299.75,309.55,256.9,203.85,224.2
Bharat Heavy Electricals Ltd.,410.07,319.9,236.55,260.8,235.1,251.6,232.6,182.5,179.25
Bharat Petroleum Corpn. Ltd.,322.57,339.77,240.25,343.68,373.57,351.5,356.3,377,374.35
Bharti Airtel Ltd.,383.45,380.95,344.8,340.3,310.2,265.05,322.1,293.65,296.15
Bhushan Steel Ltd.,430.73,319.75,306.65,411.67,456.89,492.41,474.53,457.55,464.4
Biocon Ltd.,363.65,337,274.05,240.4,238.05,284.4,289.3,286.65,284.5
Bombay Dyeing & Mfg. Co. Ltd.,73.12,71.63,68.78,116.43,107.88,98.21,138.35,92.4,62.95
Bosch Ltd.,6879.5,7117.95,6738.55,8155.75,9040.7,8838.3,9387.8,8852.05,8915.15
C E S C Ltd.,294.8,267.8,202.35,274.85,298.5,339,320.25,272.7,340.6
Cairn India Ltd.,325.8,270.65,314.75,341,314.15,329,320.95,286.05,293.6
Canara Bank,527.8,433.9,366.2,469.7,414.2,436.8,516,390.35,384.55
Central Bank Of India,126.1,100.2,64.9,102.15,82.75,79.6,89.15,68.55,63.15
Century Textiles & Inds. Ltd.,365.5,294.55,221.75,376.45,313.75,369.75,424.6,296.35,269.3
Chambal Fertilisers & Chemicals Ltd.,80,92.1,76.35,77.5,74,74.4,67.65,51.25,38.6
