,NSE,NSE,NSE,NSE,NSE,NSE,NSE,NSE,NSE
Cipla Ltd.,326.9,284.35,320.75,309.15,315.45,378.9,417.45,384.6,397.75
Coal India Ltd.,384.25,336.8,312.15,341.2,350.4,357.6,359.95,305.1,305
Colgate-Palmolive (India) Ltd.,501.73,482.88,492.35,572.4,589.58,602.38,779.85,638.4,674.67
Core Education & Technologies Ltd.,298.15,281.45,258.3,279.4,297.95,328.15,317.45,63.85,29.15
Crompton Greaves Ltd.,264.6,146.35,124.4,144.8,126,125.5,119.15,93.85,89.9
Cummins India Ltd.,485.82,401.9,341.1,491.5,445.7,507.9,519.35,501.1,448.55
D C B Bank Ltd.,59.95,42.15,31.85,46.8,43.05,45.05,50.65,43.05,48.15
D L F Ltd.,220.3,200.75,179.2,208,204.55,229,235.35,253.2,189.1
Dabur India Ltd.,116.6,103.1,100.45,105.95,113.75,128,129.4,141.85,155.3
Delta Corp Ltd.,102.6,97.9,56.15,69.9,68.9,72.45,80.2,44.35,55.1
Dena Bank,90.75,76.4,48.85,91.35,99.25,108.95,120.15,91.7,72.35
Dish T V India Ltd.,90.45,75.15,57.85,65.4,64.45,82.05,77.5,68,61.95
Divi'S Laboratories Ltd.,397.57,364.07,390.8,382.8,522.45,561.02,549.13,497.85,494.75
Dr. Reddy'S Laboratories Ltd.,1526.9,1460.2,1569.6,1738.25,1644,1646.45,1835.75,1825.9,2263.8
Educomp Solutions Ltd.,396.75,246.05,190.9,199.55,174.6,163.25,141.9,64.15,37.1
Escorts Ltd.,115.35,71.3,67.1,72.85,67.9,64.6,73.65,52.65,76.65
Essar Oil Ltd.,122.45,77.75,50.05,54.5,55.95,51.3,71.4,80.65,67
Exide Industries Ltd.,161.45,131.35,107.75,145.95,136.9,153.6,143.2,130.15,122.85
Federal Bank Ltd.,45.11,35.93,33.71,43.12,45.2,44.96,53.96,48.45,41.76
Financial Technologies (India) Ltd.,865.05,793.15,533.55,701.45,754.5,972.35,1138.3,737.55,789.75
Fortis Healthcare Ltd.,161.45,121.8,84.2,101.25,101.95,104.1,114.85,98.7,87.35
G A I L (India) Ltd.,450.75,418.2,386.75,377.15,355.15,382.6,357.4,321.35,324.9
G M R Infrastructure Ltd.,32.28,25.51,19.87,30.61,25.17,24.33,19.92,22.22,18.05
G V K Power & Infrastructure Ltd.,20.15,15.5,12.4,17.7,15.7,14.75,14.15,9.7,7.75
Glaxosmithkline Pharmaceuticals Ltd.,2346.1,2098.95,1981.85,2277.6,2029.85,2003.15,2145.7,2222,2476.9
Godrej Industries Ltd.,209.23,190.4,173.26,273.73,242.31,286.67,312.2,302.96,312.7
Grasim Industries Ltd.,2127.5,2292.8,2418.1,2619.5,2717.15,3393.9,3199.45,2809.1,2803.05
Great Eastern Shipping Co. Ltd.,287.05,234.9,196.45,251.15,252.65,249.55,266.5,224.55,212.8
Gujarat Fluorochemicals Ltd.,395.3,537.6,356.05,526.95,398.95,391.35,332,297.85,281.2
Gujarat Mineral Devp. Corpn. Ltd.,155.25,164.4,162.05,189.05,188.75,198.35,211.7,172.9,123.3
Gujarat State Petronet Ltd.,90.8,105.1,77.1,78.45,70.4,80.9,76.25,69.4,57.65
H C L Technologies Ltd.,248.1,200.4,196.8,250.63,242.22,290.57,311.07,394.25,379.2
H D F C Bank Ltd.,500.25,456.05,426.85,528.35,573.95,622.85,684.5,623.85,668.75
Havells India Ltd.,77.21,70.79,77.07,119.08,116.41,124.89,127.76,125.99,149.18
Hero Motocorp Ltd.,1899.2,1959.7,1838.85,2058.15,2114.35,1880.55,1897.35,1533.25,1698.6
Hexaware Technologies Ltd.,71.45,84.25,75.6,116.95,126.8,121.95,86.1,87.6,87.7
Hindalco Industries Ltd.,187,123.95,112.25,127.3,121,122.85,134.15,91.7,101.9
Hindustan Construction Co. Ltd.,32.4,28.1,16.55,26.2,21.35,18.2,18.9,14.55,10.85
Hindustan Oil Exploration Co. Ltd.,177.55,104.65,91,119,131.3,119.35,103.25,54.65,32.95
Hindustan Petroleum Corpn. Ltd.,391.75,377.95,252.8,296.8,332.6,311.95,289.8,283,258
Hindustan Unilever Ltd.,336.75,334.15,402.4,405.65,446.6,542.85,530.6,471.35,587.4
Hindustan Zinc Ltd.,136.5,112.65,115.25,132.4,122.35,134.35,136.95,119.95,104.95
Housing Development & Infrastructure Ltd.,164.7,92.15,54.05,86.25,88.9,100.3,114.9,50,41.6
Housing Development Finance Corpn. Ltd.,703.3,634.45,650.4,683.15,662.35,768.95,832.95,825.2,889.65
I C I C I Bank Ltd.,218.97,167.82,139.31,178.09,178.88,210.13,231.69,210.31,213.58
I D B I Bank Ltd.,135.05,101.2,78.65,105.55,95.2,102.1,113.65,82.6,73.8
I D F C Ltd.,135.05,109.5,91.95,134.8,137.55,154.7,173.65,142.3,129.55
I F C I Ltd.,48.15,29.55,22.4,42.25,40.7,31.15,34,27.3,27.15
I I F L Holdings Ltd.,87.7,69.5,44.2,67.9,60.95,61.2,87.85,62.4,55.5
I R B Infrastructure Developers Ltd.,174.65,161.8,126.4,189.85,132.3,154.3,130,116.75,98.95
I T C Ltd.,201.55,194.35,198.65,226.95,250.05,273.25,287.25,307.2,325.95
I V R C L Ltd.,71.2,34.65,29.05,69.6,53.45,48.5,46.55,21.75,17.15
Idea Cellular Ltd.,78.85,98.25,83.05,99.6,77.65,84.25,103.7,114.95,144.15
India Cements Ltd.,72.65,69.95,66.5,109.3,89.75,97.45,94.15,85.2,60.05
Indiabulls Real Estate Ltd.,116.45,70.3,47,65.9,62.9,58.6,77.75,56.9,68.8
Indian Bank,213.55,206.5,181.9,238.15,178.5,193.65,209.9,177.75,118.55
Indian Hotels Co. Ltd.,78.25,69.45,55.6,64.1,61.8,68.3,64.5,55.2,49.2
Indian Oil Corpn. Ltd.,337.9,318.25,252.65,260.4,255.85,252.95,266.65,281.4,236.6
Indian Overseas Bank,147.95,90.3,73.35,94.8,84.35,81.7,89.9,66.95,51.3
Indraprastha Gas Ltd.,385.85,429.35,373.65,379.1,241.45,265.8,249.2,279.45,280.5
Indusind Bank Ltd.,275,255.1,226.45,326.2,338.5,363,423.25,415.7,471.95
Infosys Ltd.,733.54,618.98,702.24,712.55,624.85,652.41,577.21,736.05,612.75
J S W Energy Ltd.,66.9,53.15,38.15,63.05,52.7,60.85,68.85,56.3,46.15
J S W Ispat Steel Ltd. [Merged],19.7,12.7,9.35,12.75,11.15,9.8,10.7,8.6,
J S W Steel Ltd.,882.55,549.05,536.95,723.35,679.5,737.55,831.1,663.2,659.25
Jain Irrigation Systems Ltd.,173.75,144.05,89.65,99.5,85.5,70.1,75.85,61.95,52.8
Jaiprakash Associates Ltd.,81.35,70.15,52.65,84.75,74.85,85.95,98.5,67.95,55.75
Jaiprakash Power Ventures Ltd.,47.8,35.05,34.05,41.4,34.25,35.35,38.4,25.95,19.45
Jet Airways (India) Ltd.,475.15,226.05,172.8,328.85,387,346.5,577.95,539.95,464.55
Jindal Saw Ltd.,161.7,133.65,130,169.8,134.55,118.45,132.4,82,61.55
Jindal Steel & Power Ltd.,650.75,474.45,460.55,542.55,456.9,436.7,461.05,342.45,223.65
Jubilant Foodworks Ltd.,852.65,752.9,752.4,1198.5,1225.8,1347.5,1312.6,1248.9,1073.4
Karnataka Bank Ltd.,130.4,81.6,66.2,96.6,93,110.9,170.5,134,117.6
Kotak Mahindra Bank Ltd.,236.7,223.13,210.88,278,299.43,322.55,324.98,326,361.98
L I C Housing Finance Ltd.,240.5,214.95,218,266,268.75,272.7,297.25,226.55,254.95
Lanco Infratech Ltd.,24.6,15.45,9.8,18.85,15.65,15.1,14.35,10.8,7.15
Larsen & Toubro Ltd.,1205,879.47,672.7,888.3,933.03,1071.13,1083.27,932.43,967.77
Lupin Ltd.,448.75,472.4,439.2,538.45,544,599.55,614.7,631.1,777.15
M R F Ltd.,6886.85,6537.7,6943.05,10498.35,10142.05,10238.95,13243.25,12073.8,12918.45
Mahanagar Telephone Nigam Ltd.,43.95,30.95,23.1,28.25,23.9,31.9,26.65,19.5,18.25
Mahindra & Mahindra Ltd.,691.8,810.4,674,710.65,714.9,863.65,941.8,857.1,986.75
Mangalore Refinery & Petrochemicals Ltd.,77.75,61.55,51.05,67.75,55.8,61.7,61.75,50.85,37.7
Maruti Suzuki India Ltd.,1143.15,1077.75,938.9,1338.55,1178.5,1358,1514.4,1283.8,1605.45
Max India Ltd.,183.9,183.1,144.5,167,189.1,219.7,245.15,224.9,205.65
Mcleod Russel India Ltd.,272.05,228.5,186.85,280.35,294.85,328.4,349.85,359.45,296.05
Mphasis Ltd.,442.9,335.8,301.45,414.05,370.7,413.7,384.95,387.5,370.35
N C C Ltd.,49.58,34.73,20.87,33.33,28.34,29.72,35.62,21.27,16.77
N H P C Ltd.,24.6,23.6,17.95,20.2,18.45,19.8,25.35,20.45,18.75
N M D C Ltd.,264.15,218,155.4,165,196.4,192.4,168.7,135.15,105.6
N T P C Ltd.,186.8,164.35,158.15,167.5,161.3,170.15,155.5,143.5,148.15
Nagarjuna Oil Refinery Ltd.,,,,5.55,6.7,5.8,4.9,3.1,2.85
Oil & Natural Gas Corpn. Ltd.,276.35,268.05,258.35,269.85,286.3,277.95,267.65,308.85,328
Oil India Ltd.,524.14,535.38,470.38,493.05,500.15,479.65,467.05,509.85,581.3
Onmobile Global Ltd.,107.5,60.85,64.05,59.7,29.45,47.15,48.7,36.8,30
Opto Circuits (India) Ltd.,229.77,173.46,152.42,199.3,158.55,129.5,108.05,60.95,22.15
Oracle Financial Services Software Ltd.,2310.7,1882.05,1850.35,2616.15,2562.1,3103.7,3299.2,2548.9,2692.45
Orchid Pharma Ltd.,270.7,153.05,134.45,191.85,120.3,114.4,101.9,65.75,51.25
Oriental Bank Of Commerce,333.4,291.3,194.6,255.9,262.3,296.75,358.6,253.8,215.6
P T C India Ltd.,78.9,68.35,39.9,67.25,64.85,70.25,75.85,59.8,50.75
Pantaloons Fashion & Retail Ltd.,,,,,,,,,
Patel Engineering Ltd.,149.3,91.5,80.4,108.85,97.65,77.4,82.35,59.8,35.25
Petronet L N G Ltd.,135.9,160.7,155.7,173.4,144,160.85,158,138.75,127.3
Piramal Enterprises Ltd.,394.15,352.5,374.5,470.25,523.75,462.4,521.15,607.1,584.6
Polaris Consulting & Services Ltd.,180.05,127.9,122.55,166.6,128.8,133.8,116.65,115.65,118.15
Power Finance Corpn. Ltd.,191.85,142.3,136.05,193.75,177.65,187.6,207.3,183.2,147.05
Power Grid Corpn. Of India Ltd.,110.25,97.35,100,108.6,112.6,120.05,113.85,105.5,112.9
Praj Industries Ltd.,76.25,69.75,75.35,80.45,60.15,49.3,48.9,37.55,39.25
Punj Lloyd Ltd.,76.85,52.95,40,55.9,51.2,55.7,61.65,53.3,36.75
Punjab National Bank,218.3,186.89,153.25,185.8,162.8,166.34,178.49,144.98,133.75
Ranbaxy Laboratories Ltd. [Merged],527.15,513.4,412.5,458.95,496.1,539.6,508.4,451.75,324.45
Raymond Ltd.,375.75,332.5,312,428.05,413,393.4,460,283.1,253.2
Reliance Capital Ltd.,582.45,320.05,232.75,398.9,361.5,444.2,493.45,322.15,361
Reliance Communications Ltd.,97.45,72.05,72.1,85.5,64.15,63.5,75.8,57.05,132.6
Reliance Industries Ltd.,861.95,788.2,706.55,740.55,737.4,833.5,840.7,778.75,885.7
Reliance Infrastructure Ltd.,542.3,377.85,334.3,613.25,556.7,553.15,544.15,338.75,366.5
Reliance Power Ltd.,115.95,78.05,69.95,122.3,106.1,98.5,94.8,63.05,68.9
Rolta India Ltd.,129.6,80.5,57.35,94.85,80.75,74.15,62.15,65.95,62.9
Ruchi Soya Inds. Ltd.,98.15,109.15,93.95,92.3,89.1,75.3,65.3,69.3,62.1
Rural Electrification Corpn. Ltd.,197.65,163.05,152.15,216.35,192.15,214.35,250.6,212,205.95
S Kumars Nationwide Ltd.,53.65,40.45,23.9,34.1,35.6,19.55,13.7,9.1,4
S R E I Infrastructure Finance Ltd.,43.15,32.4,24.35,26.8,24.9,27.35,44.5,28.4,22.85
Shipping Corpn. Of India Ltd.,103.85,75.15,47.05,63,56.7,59.3,55.25,42.7,35.75
Shree Renuka Sugars Ltd.,68.5,53.45,24.75,31.8,32.45,36.85,32.05,23.5,16.9
Shriram Transport Finance Co. Ltd.,654.8,614.9,420,591.55,535.3,623.25,756,717.5,703.25
Siemens Ltd.,893.2,826.55,638.15,771.85,738.05,709.95,674.1,530.4,570
Sintex Industries Ltd.,179.8,111.6,65.2,87.3,62.4,65.95,67.35,47.35,42.2
Sobha Ltd.,266.7,207.05,192.3,329.3,336.45,360.05,385.2,369.35,355.5
South Indian Bank Ltd.,23.9,21.5,20.5,24.7,24,23.1,27.45,24.55,22.95
State Bank Of India,242.03,186.16,162.77,213.04,218.19,227.02,242.64,209.06,201.56
Steel Authority Of India Ltd.,137.65,100.4,81.6,96.05,91.2,86.1,92.7,62.7,52.3
Sterlite Industries (India) Ltd. [Merged],170.1,108.75,90.25,109.45,104.25,100.65,118.9,89.5,86.95
Sterlite Technologies Ltd.,53.7,35.85,28.3,40.2,32.6,33.95,32.15,24.75,20.6
Sun Pharmaceutical Inds. Ltd.,249,230.97,247.6,286.7,317.35,346.57,369.75,406.32,502.5
Sun T V Network Ltd.,358.6,225.1,281.1,305.2,304.2,358.9,430.85,389.4,391
Suzlon Energy Ltd.,49.25,36.2,18.05,25.8,18.9,17.95,18.8,13.8,9.45
Syndicate Bank,116.4,100.4,69.25,112.25,106.4,112.75,132.6,114,112.75
T T K Prestige Ltd.,2895.1,2563.4,2500.9,3015.55,3158,3687.8,3447,3316,3318.15
T V S Motor Co. Ltd.,53.45,59.8,48.3,43.15,35.6,44.35,42.6,31.95,33.3
Tata Chemicals Ltd.,371.7,302.75,308.85,343.85,315.5,321,355.65,323.6,287.2
Tata Coffee Ltd.,84.5,78.5,76.17,84.6,95.67,103.28,141.51,149.89,101.53
Tata Communications Ltd.,204.1,184.3,212.8,225.4,235.05,243.4,242.9,227.55,177.95
Tata Consultancy Services Ltd.,1191.9,1043.3,1178.6,1194.25,1259.45,1302.95,1264.15,1556.85,1492.35
Tata Global Beverages Ltd.,97.75,84,90.95,115.35,117.95,145.65,160.8,131.45,141.5
Tata Motors Ltd.,196.83,151.97,182,273.86,235.42,271.78,313.39,262.68,286.72
Tata Power Co. Ltd.,125.92,93.37,85.07,96.55,100.75,102.34,107.5,92.5,85.55
Tata Steel Ltd.,602.3,394.65,341.1,471.75,446.95,398.95,438.2,314.7,280.7
Tata Teleservices (Maharashtra) Ltd.,16.81,14.91,10.81,12.97,12.49,10.41,10.68,7.68,5.82
Tech Mahindra Ltd.,179.55,138.45,142.97,179.14,183.59,256.39,233.41,265.29,258.61
Titan Company Ltd.,213.6,204.05,175.15,242.8,225.35,262.3,286.9,254.75,226.95
Uco Bank,96.55,63.95,47.05,79.85,82,79.5,81.9,57.8,64.95
Ultratech Cement Ltd.,936.05,1100.55,1154,1495,1514.85,2014.55,2022.8,1865.15,1932.3
Union Bank Of India,297.9,235.3,172.9,235.4,209.3,207.45,281.3,218.95,192.55
Uniphos Enterprises Ltd.,26.35,26.4,22.6,24.6,23.75,22,23.85,18,
Unitech Ltd.,32.65,25.4,19.25,29.2,23.5,24.75,34.9,25,23.25
United Spirits Ltd.,983.9,775.45,494.7,637.35,712.85,1239.05,1953.05,1889.5,2457.25
V I P Industries Ltd.,153.12,173.73,77.5,102.5,84.3,91.4,86.4,62.5,52
Vedanta Ltd.,283.95,194.3,157.1,192.65,191.6,173.35,198.6,151.35,149.05
Videocon Industries Ltd.,202.85,167.5,173.85,172.95,171.05,172.3,215.05,205.2,205.15
Vijaya Bank,70.65,53.65,44.8,59.45,58.4,57.9,64.5,48.35,46.1
Voltas Ltd.,158.9,105,75.15,113.35,107.2,122.05,106.8,78.4,82.9
Welspun Corp Ltd.,174.15,107.45,86.6,136.1,118.9,100.75,106.1,55.4,46.35
Wipro Ltd.,423.15,330.2,399,443.15,400.25,382.7,396.9,431,351.25
Yes Bank Ltd.,318.35,260.5,231.85,373.05,344.4,394.2,477,432.3,470.15
Zee Entertainment Enterprises Ltd.,133.05,117.75,116.8,130.5,149.05,197.1,223.35,214.9,247.6
